,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 141,,,,,,COTD 142,,,,,,COTD 143,,,,,,COTD 144,,,,,,COTD 145,,,
Map: COTD - Farewell by PlusMicron,,,,,,Map: COTD - Slowtown by [CSC] Shadynook,,,,,,Map: safe travels v4 by crips.fourie,,,,,,Map: COTD 144 - Chartreuse Valley by [CSC]Tommygaming,,,,,,Map: COTD - Resonance Ridge by Richhyyyy,,,
,,Fastest Time: 44.849 by RoundNzt in Round 4,,,,,,Fastest Time: 41.585 by [KURK] Quickracer10 in Round 7,,,,,,Fastest Time: 41.988 by Kernkob in Round 13,,,,,,Fastest Time: 43.318 by Kernkob in Round 3,,,,,,Fastest Time: 42.901 by Hydro in Round 9,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
43,Fly8oy,48.659,3,,,,,,,,,,[20x]K410K3N,DNF,2,,,43,wokonbike,DNF,2,,,43,[Err] Veneficus,45.636,3
44,[CTR]GuAlexItar,48.752,3,,,,,,,,,,MAGS3,DNF,2,,,44,Adam,DNF,1,,,44,elekvault,46.468,3
45,F1Y1NGDUTCHM8N,48.889,3,,,,,,,,,,sailingman,DNF,2,,,,Minkus,DNF,1,,,45,[FOOL] Ruckooe,46.540,3
46,zodiak,DNF,3,,,,,,,,,,[ZET]Sword125,DNF,2,,,,M4DSCOTSM4N,DNF,1,,,46,ping,DNF,3
47,[NewB]Zeus,48.804,2,,,,,,,,,47,[RB]Chinpokomon,DNF,1,,,,Shattersmith,DNF,1,,,47,aizpun,45.722,2
48,timesprout,48.970,2,,,,,,,,,,zodiak,DNF,1,,,,Dartho Mas,DNF,1,,,48,Torro,45.762,2
49,htamtac,52.490,2,,,,,,,,,,CaptainD54321 (they/she),DNF,1,,,,Hefan666,DNF,1,,,49,timesprout,46.208,2
50,wokonbike,DNF,2,,,,,,,,,,[Slow]frenchteost,DNF,1,,,,,,,,,50,cookie,46.226,2
,aizpun,DNF,2,,,,,,,,,,ArrrT,DNF,1,,,,,,,,,51,[SLOW]Zeus,46.309,2
,cookie,DNF,2,,,,,,,,,,nova_lead,DNF,1,,,,,,,,,52,[ZET]Sword125,46.568,2
53,Mμ,DNF,1,,,,,,,,,,just_cody,DNF,1,,,,,,,,,53,M4DSCOTSM4N,46.741,1
,[CSC]Shadynook,DNF,1,,,,,,,,,,K1ngON3,DNF,1,,,,,,,,,54,Amoru,47.164,1
,[TTR] Tigerplaysonpc,DNF,1,,,,,,,,,,Valco,DNF,1,,,,,,,,,55,SjorsTea,47.480,1
,[Err] Veneficus,DNF,1,,,,,,,,,,kleinkriel,DNF,1,,,,,,,,,56,SuperHeavy,48.461,1
,Kurtis,DNF,1,,,,,,,,,,,,,,,,,,,,,57,imagineaclevernamehere,49.100,1
,,,,,,,,,,,,,,,,,,,,,,,,58,[ZET] zeriv,49.827,1
