,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 146,,,,,,COTD 147,,,,,,COTD 148,,,,,,COTD 149,,,,,,COTD 150,,,
Map: Shambly COTD by [CRT]Codewalt,,,,,,Map: COTD - Ashlands Descent by [CSC]Mokster,,,,,,Map: Eleven Gallium by agix,,,,,,Map: -COTD- The Spice Rack by [CSC] OccasionallyAmazingGamer,,,,,,Map: COTD #150 - Sink into Madness by Form,,,
,,Fastest Time: 45.625 by justMaki in Round 13,,,,,,Fastest Time: 47.498 by Sterben in Round 10,,,,,,Fastest Time: 40.672 by justMaki in Round 12,,,,,,Fastest Time: 47.837 by Kernkob in Round 2,,,,,,Fastest Time: 40.402 by Kernkob in Final,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
45,[Same]stindt,DNF,1,,,45,SuperHeavy,53.003,2,,,45,Hellmet,45.618,3,,,45,Pants,DNF,2,,,45,imagineaclevernamehere,49.215,2
,[20x]K410K3N,DNF,1,,,46,Microknigh7,DNF,2,,,46,[Quac] microways,DNF,3,,,,[ZET]Stick,DNF,2,,,46,[ZET]vectortrajector,50.304,2
,pannekoekbijter,DNF,1,,,,Darkblade,DNF,2,,,47,[RB]Chinpokomon,44.758,2,,,,[ZET] Wheelie,DNF,2,,,47,N1ghtH4WkEd,53.648,2
,[Buny]Lunarbunny,DNF,1,,,48,groovy,53.917,1,,,48,Tudge Boat,45.376,2,,,,[ZET]Sword125,DNF,2,,,48,Samueras,DNF,2
,Samueras,DNF,1,,,49,Orb Bee Bob,54.500,1,,,49,Fly8oy,46.022,2,,,49,Orb Bee Bob,53.512,1,,,,Hellmet,DNF,2
,imagineaclevernamehere,DNF,1,,,50,imagineaclevernamehere,1:03.920,1,,,50,xtuov_,46.700,2,,,50,[ZET]LILWOOLEY,53.750,1,,,,[Err] Veneficus,DNF,2
,Squarefish,DNF,1,,,51,𝒱V𝑜o𝒾i𝒹d𝒱,DNF,1,,,51,rtube,DNF,2,,,51,grop44,DNF,1,,,51,wunderBarr,DNF,1
,[ZET] zeriv,DNF,1,,,,ping,DNF,1,,,,Reamerad,DNF,2,,,,timesprout,DNF,1,,,,[ItIs]St Nicholas,DNF,1
,,,,,,,PlusMicron,DNF,1,,,53,cucumis conditus solacii animi,46.085,1,,,,cucumis conditus solacii animi,DNF,1,,,,[SLOW]Zeus,DNF,1
,,,,,,,,,,,,54,CaptainD54321 (they/she),46.336,1,,,,[CLWN]DryDoc,DNF,1,,,,zodiak,DNF,1
,,,,,,,,,,,,55,Samueras,46.968,1,,,,,,,,,,,,
,,,,,,,,,,,,56,Proxy,58.795,1,,,,,,,,,,,,
,,,,,,,,,,,,57,braydenzee,DNF,1,,,,,,,,,,,,
,,,,,,,,,,,,,Admiral_ackbar,DNF,1,,,,,,,,,,,,
